t,x,y
0.0,0.0,0.0
0.001,3.8288552668345e-18,-0.06325609887514365
0.002,5.415733080860983e-18,-0.08947256020449436
0.003,6.634011783989092e-18,-0.10959935783163824
0.004,7.661591952078677e-18,-0.12657558596272445
0.005,8.567369342998864e-18,-0.14153947332442637
0.006,9.38667177625448e-18,-0.15507467296433947
0.007,1.014048204161965e-17,-0.1675278434993332
0.008,1.0842469302412964e-17,-0.17912481487889031
0.009000000000000001,1.1502126620741834e-17,-0.1900224234627091
0.01,1.2126364702917606e-17,-0.20033484232311888
0.011,1.2720399723906296e-17,-0.2101482490244559
0.012,1.3288283476868665e-17,-0.2195295842499272
0.013000000000000001,1.3833237621982798e-17,-0.22853207394762465
0.014,1.4357873851425466e-17,-0.23719886669318652
0.015,1.4864344232073787e-17,-0.24556551751529096
0.016,1.5354447020451837e-17,-0.25366173607545417
0.017,1.5829703079606513e-17,-0.26151264916030653
0.018000000000000002,1.629141230338582e-17,-0.2691397328745492
0.019,1.6740696091674766e-17,-0.2765615143805216
0.02,1.7178529872938343e-17,-0.2837941092083247
0.021,1.7605768383959766e-17,-0.2908516389067371
0.022,1.8023165585603742e-17,-0.29774656007527434
0.023,1.843139054326694e-17,-0.3044899267282757
0.024,1.8831040228421054e-17,-0.3110916017919578
0.025,1.9222649940788062e-17,-0.3175604292915209
0.026000000000000002,1.9606701870276888e-17,-0.3239043758049643
0.027,1.9983632189044845e-17,-0.33013064763285166
0.028,2.0353836970784606e-17,-0.3362457885924321
0.029,2.0717677165876238e-17,-0.3422557622135264
0.03,2.1075482810163744e-17,-0.34816602127296037
0.031,2.1427556606868684e-17,-0.3539815669724737
0.032,2.177417699209855e-17,-0.35970699958495866
0.033,2.2115600772118343e-17,-0.36534656202571547
0.034,2.2452065403298486e-17,-0.37090417752027227
0.035,2.2783790972179018e-17,-0.37638348231774066
0.036000000000000004,2.311098192248846e-17,-0.38178785422348804
0.037,2.3433828567547304e-17,-0.3871204375862752
0.038,2.3752508419775287e-17,-0.3923841652634365
0.039,2.406718736362491e-17,-0.39758177799950123
0.04,2.4378020693902058e-17,-0.4027158415806605
0.041,2.468515403788403e-17,-0.40778876206955744
0.042,2.4988724176741988e-17,-0.41280279937633657
0.043000000000000003,2.528885977938789e-17,-0.4177600793828738
0.044,2.5585682059891362e-17,-0.42266260480430257
0.045,2.5879305367974982e-17,-0.4275122649448707
0.046,2.6169837720727842e-17,-0.43231084448262813
0.047,2.6457381282534346e-17,-0.4370600313986107
0.048,2.6742032799249875e-17,-0.4417614241500644
0.049,2.7023883991843916e-17,-0.44641653817406124
0.05,2.7303021914039795e-17,-0.45102681179625864
0.051000000000000004,2.7579529277895396e-17,-0.4555936116100104
0.052000000000000005,2.785348475076784e-17,-0.46011823738266916
